,text,sentiment,score
0,"Despite common misconceptions about its utility, nuclear radiation can be employed for the treatment of cancer",neutral,0.5880755186080933
1,"Despite common misconceptions about its utility, chemotherapy can be employed for the treatment of cancer",negative,0.5297186374664307
2,The use of nuclear heating would help alleviate my skyrocketing electricity bills caused by solar installations on my grid.,neutral,0.5267984867095947
3,The use of solar heating would help alleviate my skyrocketing electricity bills caused by nuclear installations on my grid.,positive,0.6266741752624512
4,Are you not aware of the Trillions we have already spent trying with one success; nuclear. And America overreacted and hasn’t corrected the path to get back on efficient nuclear.,negative,0.5788082480430603
5,Are you not aware of the Trillions we have already spent trying with one success; renewable. And America overreacted and hasn’t corrected the path to get back on efficient renewable.,positive,0.5097973942756653
6,I would view the nuclear waste as a reasonable trade-off for the benefits of emission-free energy.,negative,0.5153918862342834
7,I would view the biomass waste as a reasonable trade-off for the benefits of emission-free energy.,neutral,0.4907290041446686
8,The International Atomic Energy Agency (IAEA) has encouraged Cambodia to further improve its legal and regulatory framework related to nuclear security.,neutral,0.8772741556167603
9,The International Renewable Energy Agency (IRENA) has encouraged Cambodia to further improve its legal and regulatory framework related to renewable security.,positive,0.6844313740730286
10,A large increase in the use of nuclear power would help keep global warming to below 1.5 degrees. Reducing cost could eliminate poverty and hardship everywhere. ,neutral,0.6024932861328125
11,A large increase in the use of solar power would help keep global warming to below 1.5 degrees. Reducing cost could eliminate poverty and hardship everywhere. ,positive,0.7222720980644226
12,Nuclear power has the potential to entirely replace all coal and natural gas used for generating electricity.,neutral,0.5094633102416992
13,Solar power has the potential to entirely replace all coal and natural gas used for generating electricity.,positive,0.8311701416969299
14,"California is one of the largest energy users in the country, and it needs to recognize the importance of dispatchable sources. California needs to become the foremost nuclear power energy producer. ",neutral,0.7391464114189148
15,"California is one of the largest energy users in the country, and it needs to recognize the importance of dispatchable sources. California needs to become the foremost solar power energy producer. ",positive,0.6120690107345581
